Img_No,Img_Name,Author
01,01 - Olympic Torch - Jan,Sue Poole
02,02 - Women on the trail,Chris Littlewood
03,03 - P1040693,Margaret Hazeldine
04,04 - Street Music,Joan Banks
05,05 - Rushing home,John Horton
06,06 - Christmas Market,Judy Moore
07,07 - The Two Step,Graham Welsby
08,08 - Bargain Hunt,Judy Moore
09,09 - P1020090,Margaret Hazeldine
10,10 - 2 Photographers Contemplating - and a Model,Julie Beddow
11,11 - Its been a hard day,John Horton
12,12 - New York Carousel,Chris Littlewood
13,13 - Ready for Action,Sue Poole
14,14 - Hand and Foot,Phillip Simmons
15,15 - People Out and About,Joan Banks
